date,temp_max,temp_min,precipitation,rain,snowfall,wind_speed,wind_gusts,radiation,sunshine,weather_code
2020-01-01,12.9,8.7,0.2,0.2,0.0,16.2,28.8,2.89,0.0,51
2020-01-02,15.8,9.9,2.8,2.8,0.0,14.5,25.9,2.78,123.7,55
2020-01-03,18.1,8.0,0.0,0.0,0.0,28.6,51.1,12.68,32485.51,3
2020-01-04,20.5,5.7,0.0,0.0,0.0,16.7,27.0,14.06,33209.72,0
2020-01-05,22.5,8.4,0.0,0.0,0.0,21.4,38.9,14.11,33227.51,0
2020-01-06,22.1,7.3,0.0,0.0,0.0,25.9,46.8,13.45,33022.89,3
2020-01-07,18.5,6.2,0.0,0.0,0.0,21.7,37.8,14.8,33628.38,0
2020-01-08,19.6,0.9,0.0,0.0,0.0,24.8,42.8,14.08,33081.09,3
2020-01-09,25.1,16.5,0.9,0.9,0.0,30.1,53.3,5.1,4367.29,51
2020-01-10,23.7,17.2,42.9,42.9,0.0,43.7,74.5,6.26,18527.33,65
2020-01-11,16.0,5.7,0.6,0.6,0.0,27.4,51.8,14.46,33793.52,51
2020-01-12,16.4,1.1,0.0,0.0,0.0,15.8,31.3,13.65,31858.72,3
2020-01-13,17.0,7.9,1.3,1.3,0.0,8.4,18.0,3.57,0.0,51
2020-01-14,22.8,14.1,0.4,0.4,0.0,15.0,23.8,5.66,9427.13,51
2020-01-15,25.1,19.7,1.8,1.8,0.0,24.4,42.1,7.59,15256.29,51
2020-01-16,19.5,14.7,11.6,11.6,0.0,22.0,41.8,5.01,4447.3,63
2020-01-17,22.9,15.1,8.1,8.1,0.0,23.2,40.0,4.06,0.0,61
2020-01-18,19.2,9.8,1.1,1.1,0.0,25.9,46.4,8.75,19761.9,53
2020-01-19,12.9,4.9,0.0,0.0,0.0,22.2,40.7,15.46,34299.45,1
2020-01-20,14.1,4.3,0.0,0.0,0.0,10.3,19.1,15.09,34273.14,3
2020-01-21,15.8,6.6,0.9,0.9,0.0,24.3,40.7,13.69,34329.41,53
2020-01-22,14.0,8.8,21.6,21.6,0.0,20.0,35.6,2.44,0.0,61
2020-01-23,17.9,8.4,0.0,0.0,0.0,24.9,45.7,15.06,34480.38,2
2020-01-24,17.4,5.6,0.0,0.0,0.0,10.7,21.6,15.54,34536.42,1
2020-01-25,19.1,5.6,1.2,1.2,0.0,27.8,47.2,8.41,16536.68,51
2020-01-26,23.7,11.3,0.0,0.0,0.0,15.9,30.6,15.76,34704.18,3
2020-01-27,21.0,7.1,0.0,0.0,0.0,16.8,30.6,15.53,34761.36,3
2020-01-28,21.8,10.0,6.5,6.5,0.0,32.8,60.5,12.71,33493.45,61
2020-01-29,15.2,6.4,0.0,0.0,0.0,24.5,44.6,16.4,34937.33,0
2020-01-30,10.8,6.2,0.0,0.0,0.0,15.2,27.4,6.42,4070.05,3
2020-01-31,15.1,5.9,0.0,0.0,0.0,14.0,28.1,14.83,32417.69,3
2020-02-01,21.5,4.1,0.0,0.0,0.0,17.2,32.0,16.98,35319.0,0
