date,temp_max,temp_min,precipitation,rain,snowfall,wind_speed,wind_gusts,radiation,sunshine,weather_code
2020-01-01,13.1,6.2,0.0,0.0,0.0,28.5,47.5,4.62,0.0,3
2020-01-02,16.4,9.2,0.0,0.0,0.0,23.1,37.4,3.51,286.67,3
2020-01-03,14.4,6.6,0.4,0.4,0.0,26.1,45.0,9.11,28726.52,51
2020-01-04,13.1,1.9,0.0,0.0,0.0,14.1,25.9,12.72,32483.38,0
2020-01-05,19.9,7.8,0.0,0.0,0.0,26.2,42.5,12.93,32488.12,0
2020-01-06,16.8,2.8,0.0,0.0,0.0,18.9,31.7,12.49,32400.0,3
2020-01-07,16.0,3.3,0.0,0.0,0.0,13.3,22.0,13.37,32611.4,0
2020-01-08,16.9,5.2,0.0,0.0,0.0,33.7,55.4,13.19,32400.0,3
2020-01-09,20.0,14.2,3.0,3.0,0.0,32.6,55.1,4.98,8835.54,55
2020-01-10,21.1,11.6,56.1,56.1,0.0,43.5,86.8,3.28,343.66,65
2020-01-11,8.1,0.2,4.6,3.7,0.63,31.6,54.4,10.85,25580.38,73
2020-01-12,13.8,0.0,0.0,0.0,0.0,19.6,35.6,12.85,32644.95,3
2020-01-13,17.5,5.6,0.1,0.1,0.0,22.0,38.9,5.96,1369.25,51
2020-01-14,19.5,9.9,0.0,0.0,0.0,15.0,26.6,7.93,17243.2,3
2020-01-15,24.4,15.6,5.7,5.7,0.0,23.5,41.8,6.82,20341.77,61
2020-01-16,15.3,9.6,16.9,16.9,0.0,25.5,42.8,2.12,0.0,63
2020-01-17,17.9,9.1,12.6,12.6,0.0,26.6,47.2,3.28,0.0,63
2020-01-18,17.1,5.9,1.1,1.1,0.0,30.8,52.9,13.72,33512.58,51
2020-01-19,10.5,1.1,0.0,0.0,0.0,16.9,27.7,14.17,33349.7,3
2020-01-20,11.4,1.1,0.0,0.0,0.0,10.0,17.6,14.23,33672.09,3
2020-01-21,11.2,1.8,0.4,0.4,0.0,21.1,34.9,8.27,17836.6,51
2020-01-22,8.2,4.3,10.4,10.4,0.0,25.1,41.0,1.54,0.0,61
2020-01-23,13.6,6.3,6.3,6.3,0.0,23.6,41.8,9.87,20682.76,61
2020-01-24,13.9,3.2,0.0,0.0,0.0,16.4,31.0,14.52,33990.37,0
2020-01-25,17.4,4.2,0.6,0.6,0.0,26.7,44.3,12.0,28802.23,51
2020-01-26,16.5,9.0,0.1,0.1,0.0,20.9,37.1,6.67,13762.47,51
2020-01-27,17.2,5.9,0.1,0.1,0.0,19.4,33.8,11.44,24108.61,51
2020-01-28,18.6,6.6,17.5,17.5,0.0,30.2,54.7,8.29,23281.21,63
2020-01-29,9.8,3.5,0.0,0.0,0.0,30.0,50.0,9.48,20271.86,3
2020-01-30,7.6,4.2,0.4,0.4,0.0,11.0,23.0,4.7,0.0,51
2020-01-31,12.1,5.1,0.0,0.0,0.0,11.6,26.3,13.25,32047.67,3
2020-02-01,16.5,1.3,0.0,0.0,0.0,11.9,24.5,15.7,34726.36,0
2020-02-02,22.9,8.7,0.0,0.0,0.0,26.3,42.5,15.69,34793.79,3
2020-02-03,21.5,12.3,5.3,5.3,0.0,31.6,57.6,7.2,18194.87,61
2020-02-04,18.2,4.9,7.5,7.5,0.0,30.6,52.9,10.14,30528.64,63
2020-02-05,4.9,0.8,6.1,5.5,0.42,27.3,45.7,4.45,0.0,73
2020-02-06,7.4,-2.0,0.2,0.0,0.14,26.7,47.2,15.98,34976.46,71
2020-02-07,14.6,0.9,0.0,0.0,0.0,17.2,32.0,15.16,33894.8,3
2020-02-08,16.5,3.0,0.0,0.0,0.0,27.9,44.3,15.82,35440.55,3
2020-02-09,22.0,13.9,5.0,5.0,0.0,39.6,65.9,6.18,10127.07,55
2020-02-10,16.1,4.9,4.7,4.7,0.0,22.2,41.0,7.24,11600.45,61
2020-02-11,6.9,4.5,16.4,16.4,0.0,21.6,36.7,2.74,0.0,61
2020-02-12,11.4,5.0,32.2,32.2,0.0,22.7,42.8,7.65,13162.42,63
2020-02-13,7.4,0.9,0.0,0.0,0.0,20.5,34.9,10.08,22365.45,3
2020-02-14,9.8,-2.8,0.0,0.0,0.0,16.2,27.0,17.43,36467.89,2
2020-02-15,17.2,3.5,0.0,0.0,0.0,27.0,48.2,16.14,36333.85,3
2020-02-16,22.9,9.2,0.0,0.0,0.0,22.4,36.7,17.31,36842.9,3
2020-02-17,24.3,13.3,0.0,0.0,0.0,32.7,55.4,11.38,23381.44,3
2020-02-18,14.8,8.7,12.6,12.6,0.0,26.8,46.8,3.5,0.0,61
2020-02-19,10.2,6.1,17.9,17.9,0.0,18.8,32.0,7.09,12810.58,63
2020-02-20,11.1,3.5,7.8,7.8,0.0,29.4,49.7,8.58,17700.55,61
2020-02-21,8.1,-1.8,0.0,0.0,0.0,18.1,29.2,18.94,37441.78,3
2020-02-22,13.6,2.5,0.0,0.0,0.0,20.6,38.9,14.55,32224.08,3
2020-02-23,16.8,8.6,3.0,3.0,0.0,28.1,45.0,6.94,6277.17,55
2020-02-24,17.9,9.1,0.0,0.0,0.0,34.8,61.6,18.46,37427.9,3
2020-02-25,14.2,5.6,0.0,0.0,0.0,24.2,43.9,11.36,29026.73,3
2020-02-26,8.6,0.5,0.1,0.1,0.0,35.6,59.8,15.27,35848.22,51
2020-02-27,14.5,-2.0,0.0,0.0,0.0,17.1,33.1,19.94,38166.56,0
2020-02-28,17.5,2.0,0.0,0.0,0.0,13.0,23.0,19.97,38289.93,0
2020-02-29,21.4,5.8,0.8,0.8,0.0,30.3,48.6,18.75,38413.69,51
2020-03-01,23.5,13.8,0.4,0.4,0.0,36.4,61.6,12.1,22181.87,51
2020-03-02,24.1,15.4,0.3,0.3,0.0,25.3,41.4,10.72,14259.52,51
2020-03-03,20.2,12.7,0.6,0.6,0.0,17.1,29.5,6.96,0.0,51
2020-03-04,15.3,10.2,33.3,33.3,0.0,31.4,54.7,5.23,8031.47,63
