date,temp_max,temp_min,precipitation,rain,snowfall,wind_speed,wind_gusts,radiation,sunshine,weather_code
2020-01-01,15.9,8.6,11.8,11.8,0.0,21.1,33.8,3.19,0.0,63
2020-01-02,20.2,14.1,16.5,16.5,0.0,21.3,43.6,3.57,2686.92,63
2020-01-03,18.8,11.8,0.0,0.0,0.0,24.1,40.3,12.2,32488.25,3
2020-01-04,18.2,5.6,0.0,0.0,0.0,20.4,36.7,14.34,33298.64,0
2020-01-05,21.2,7.7,0.0,0.0,0.0,18.5,33.8,14.16,33216.93,0
2020-01-06,22.5,11.6,0.0,0.0,0.0,16.6,31.7,11.86,29479.43,3
2020-01-07,17.1,8.4,0.1,0.1,0.0,18.0,30.2,14.85,33162.88,51
2020-01-08,19.0,4.6,0.0,0.0,0.0,28.1,47.2,13.74,32978.71,3
2020-01-09,23.8,17.0,1.8,1.8,0.0,33.0,60.1,7.99,21082.11,51
2020-01-10,24.1,19.9,2.5,2.5,0.0,38.5,81.4,5.19,1446.03,53
2020-01-11,22.5,5.7,7.1,7.1,0.0,45.1,84.2,13.81,29521.18,63
2020-01-12,16.1,2.7,0.0,0.0,0.0,11.9,24.8,13.6,33303.93,3
2020-01-13,19.4,12.1,8.1,8.1,0.0,17.4,41.8,5.13,4119.69,63
2020-01-14,24.9,18.8,29.6,29.6,0.0,20.3,46.1,7.01,20777.5,63
2020-01-15,26.0,20.0,0.5,0.5,0.0,20.3,35.3,7.44,13009.72,51
2020-01-16,22.3,18.9,2.4,2.4,0.0,23.0,33.1,7.52,24288.88,53
2020-01-17,21.2,15.6,1.7,1.7,0.0,24.3,41.0,6.39,9235.79,53
2020-01-18,21.9,14.2,11.1,11.1,0.0,22.0,34.6,4.8,519.5,63
2020-01-19,13.7,6.9,0.0,0.0,0.0,25.8,44.3,15.85,34575.82,2
2020-01-20,14.4,5.0,0.0,0.0,0.0,15.0,28.4,15.53,34329.48,3
2020-01-21,13.1,3.3,0.0,0.0,0.0,16.9,32.8,15.05,31415.08,3
2020-01-22,14.8,7.2,18.5,18.5,0.0,25.6,45.0,1.94,0.0,61
2020-01-23,17.6,8.4,2.4,2.4,0.0,24.2,44.6,10.66,28726.47,61
2020-01-24,17.5,4.6,0.0,0.0,0.0,12.3,25.9,15.89,34985.06,0
2020-01-25,17.7,6.1,2.2,2.2,0.0,22.7,38.9,9.48,19193.5,55
2020-01-26,22.6,11.6,7.7,7.7,0.0,16.5,29.5,13.92,32099.9,61
2020-01-27,17.2,9.9,0.0,0.0,0.0,16.2,26.3,10.05,20559.41,3
2020-01-28,18.4,10.5,14.6,14.6,0.0,32.4,55.4,7.1,20044.45,63
2020-01-29,15.1,7.3,0.0,0.0,0.0,25.4,45.0,15.17,30675.32,3
2020-01-30,14.0,8.9,2.2,2.2,0.0,14.8,24.5,6.14,8572.15,53
2020-01-31,14.1,6.8,0.0,0.0,0.0,16.1,29.2,6.93,6807.88,3
2020-02-01,18.5,4.1,0.0,0.0,0.0,14.4,28.1,17.17,35875.18,0
2020-02-02,22.0,8.4,0.0,0.0,0.0,17.6,32.0,17.08,34928.68,3
2020-02-03,22.9,13.5,2.1,2.1,0.0,33.0,54.7,7.42,9872.11,55
2020-02-04,25.4,19.2,3.4,3.4,0.0,28.9,48.6,9.19,23962.75,55
2020-02-05,15.5,5.7,8.8,8.8,0.0,27.1,56.5,6.49,8942.94,63
2020-02-06,9.9,2.7,2.3,2.3,0.0,28.4,50.0,17.21,34385.7,61
2020-02-07,20.7,2.2,0.0,0.0,0.0,24.0,41.4,17.65,36440.77,2
2020-02-08,19.4,9.9,0.1,0.1,0.0,18.7,34.2,12.7,31207.98,51
2020-02-09,23.0,15.3,19.7,19.7,0.0,33.2,58.0,7.55,12987.42,63
2020-02-10,24.1,15.7,9.2,9.2,0.0,31.8,52.2,6.9,9843.36,61
2020-02-11,14.8,10.3,10.9,10.9,0.0,18.9,32.0,3.68,0.0,61
2020-02-12,19.1,10.1,10.5,10.5,0.0,23.8,66.2,6.37,7449.0,63
2020-02-13,14.9,6.5,0.0,0.0,0.0,25.3,45.0,18.71,37051.88,3
2020-02-14,14.6,3.4,0.0,0.0,0.0,17.4,33.1,18.96,37156.48,0
2020-02-15,18.1,7.3,0.3,0.3,0.0,18.9,33.1,10.94,22339.5,51
2020-02-16,21.6,12.1,0.2,0.2,0.0,16.1,26.3,10.86,20222.33,51
2020-02-17,24.6,14.9,2.8,2.8,0.0,24.5,50.0,8.92,23037.91,53
2020-02-18,24.6,17.4,2.2,2.2,0.0,19.5,33.5,6.91,13712.56,61
2020-02-19,17.0,12.0,4.8,4.8,0.0,20.2,33.5,4.86,0.0,53
2020-02-20,11.9,6.8,15.1,15.1,0.0,29.4,51.8,5.05,141.08,63
2020-02-21,12.2,3.8,0.0,0.0,0.0,22.8,38.9,19.8,37896.94,3
2020-02-22,15.6,3.5,0.0,0.0,0.0,17.0,30.2,18.97,38002.73,3
2020-02-23,19.7,9.4,1.5,1.5,0.0,22.9,40.0,5.46,2775.84,53
2020-02-24,23.0,13.0,16.9,16.9,0.0,21.8,40.0,9.7,11127.08,65
2020-02-25,20.6,9.6,0.1,0.1,0.0,25.3,41.0,20.06,38322.55,51
2020-02-26,12.6,5.4,0.0,0.0,0.0,38.4,64.4,18.67,38430.76,3
