date,temp_max,temp_min,precipitation,rain,snowfall,wind_speed,wind_gusts,radiation,sunshine,weather_code
2020-01-01,4.4,-1.7,0.0,0.0,0.0,28.2,49.7,5.9,14262.91,3
2020-01-02,9.0,-2.2,0.0,0.0,0.0,17.3,31.3,8.23,25439.16,3
2020-01-03,9.4,4.5,4.8,4.8,0.0,12.4,19.4,3.45,3947.57,53
2020-01-04,10.1,3.5,6.2,6.2,0.0,26.6,44.6,1.53,0.0,53
2020-01-05,5.2,-1.4,0.2,0.1,0.07,37.1,65.9,7.09,25571.97,71
2020-01-06,7.8,-0.4,1.2,0.0,0.84,25.9,46.1,7.3,24867.4,73
2020-01-07,6.1,-0.6,0.8,0.6,0.14,17.5,29.5,6.88,21600.0,71
2020-01-08,5.1,-2.8,0.1,0.0,0.07,33.1,66.2,8.14,29515.89,71
2020-01-09,0.6,-4.9,0.0,0.0,0.0,19.7,39.2,9.57,29060.71,3
2020-01-10,11.2,-1.0,0.0,0.0,0.0,24.8,40.7,4.71,11888.93,3
2020-01-11,18.4,8.4,0.2,0.2,0.0,34.2,58.7,7.22,22545.56,51
2020-01-12,18.9,4.6,2.7,2.7,0.0,45.6,95.8,8.6,27025.32,61
2020-01-13,8.9,1.2,0.2,0.2,0.0,16.0,30.2,2.93,2171.02,51
2020-01-14,6.8,1.0,0.3,0.3,0.0,15.3,28.4,3.01,294.04,51
2020-01-15,9.4,3.0,0.3,0.3,0.0,16.1,31.0,8.59,30185.75,51
2020-01-16,8.7,0.1,1.6,1.6,0.0,38.8,73.8,7.78,29269.63,53
2020-01-17,-0.9,-6.1,0.0,0.0,0.0,34.9,60.8,10.52,30735.48,3
2020-01-18,2.5,-6.2,8.4,0.6,5.46,24.2,40.3,3.2,1714.77,75
2020-01-19,7.2,-2.9,1.5,1.5,0.0,28.7,47.2,7.3,24281.85,53
2020-01-20,-0.8,-7.1,0.0,0.0,0.0,26.1,45.0,10.93,31077.53,3
2020-01-21,1.2,-6.6,0.0,0.0,0.0,16.9,29.9,10.57,31250.14,3
2020-01-22,3.0,-5.3,0.0,0.0,0.0,9.4,16.9,10.76,31347.25,3
2020-01-23,7.1,-4.3,0.0,0.0,0.0,9.9,18.0,8.09,25880.32,3
2020-01-24,9.6,-2.7,0.0,0.0,0.0,12.7,24.1,10.62,30180.95,3
2020-01-25,9.8,1.5,25.5,25.5,0.0,34.2,67.0,1.05,0.0,63
2020-01-26,7.9,0.9,0.0,0.0,0.0,22.7,41.0,7.73,26867.06,3
2020-01-27,7.3,-0.3,0.0,0.0,0.0,22.3,40.0,5.84,19033.23,3
2020-01-28,5.5,-0.3,0.0,0.0,0.0,22.4,40.3,6.1,11366.53,3
2020-01-29,4.4,-3.0,0.0,0.0,0.0,18.9,33.5,11.59,31819.04,3
2020-01-30,1.4,-5.4,0.0,0.0,0.0,16.3,28.1,10.62,31106.44,3
